id,Name,Location,Country,lat,lon,1753,1755,1766,1784,1845,1860,1861,1875,1918,1927,1947,1970,1973,1977,1980,1996,2010,2011,Elevation,Type,Status,Time,VEI,Agent,DEATHS
1,Grimsvotn,Iceland-NE,Iceland,64.42,-17.33,2,,,,,,,,,,,,,,,,,,1725,Caldera,Historical,D1,2,,
2,Katla,Iceland-S,Iceland,63.63,-19.05,,4,,,,,,,,,,,,,,,,,1512,Subglacial volcano,Historical,D2,4,E,2
3,Hekla,Iceland-S,Iceland,63.98,-19.7,,,4,,,,,,,,,,,,,,,,1491,Stratovolcano,Historical,D1,4,,
4,Grimsvotn,Iceland-NE,Iceland,64.42,-17.33,,,,4,,,,,,,,,,,,,,,1725,Caldera,Historical,D1,4,I,
5,Hekla,Iceland-S,Iceland,63.98,-19.7,,,,,4,,,,,,,,,,,,,,1491,Stratovolcano,Historical,D1,4,,
6,Grimsvotn,Iceland-NE,Iceland,64.42,-17.33,,,,,,3,,,,,,,,,,,,,1725,Caldera,Historical,D1,,m,1
7,Grimsvotn,Iceland-NE,Iceland,64.42,-17.33,,,,,,,2,,,,,,,,,,,,1725,Caldera,Historical,D1,2,,
8,Askja,Iceland-NE,Iceland,65.03,-16.75,,,,,,,,5,,,,,,,,,,,1516,Stratovolcano,Historical,D2,5,,
9,Katla,Iceland-S,Iceland,63.63,-19.05,,,,,,,,,4,,,,,,,,,,1512,Subglacial volcano,Historical,D2,4,,
10,Esjufjoll,Iceland-SE,Iceland,64.27,-16.65,,,,,,,,,,1,,,,,,,,,1760,Stratovolcano,Historical,D2,1,M,1
11,Hekla,Iceland-S,Iceland,63.98,-19.7,,,,,,,,,,,4,,,,,,,,1491,Stratovolcano,Historical,D1,4,L,1
12,Hekla,Iceland-S,Iceland,63.98,-19.7,,,,,,,,,,,,3,,,,,,,1491,Stratovolcano,Historical,D1,3,,
13,Vestmannaeyjar,Iceland-S,Iceland,63.43,-20.28,,,,,,,,,,,,,3,,,,,,279,Submarine volcano,Historical,D1,3,G,1
14,Krafla,Iceland-NE,Iceland,65.73,-16.78,,,,,,,,,,,,,,1,,,,,650,Caldera,Historical,D1,1,,
15,Hekla,Iceland-S,Iceland,63.98,-19.7,,,,,,,,,,,,,,,3,,,,1491,Stratovolcano,Historical,D1,3,,
16,Grimsvotn,Iceland-NE,Iceland,64.42,-17.33,,,,,,,,,,,,,,,,3,,,1725,Caldera,Historical,D1,3,,
17,Eyjafjallajokull,Iceland-S,Iceland,63.63,-19.62,,,,,,,,,,,,,,,,,4,,1666,Stratovolcano,Historical,D1,4,,2
18,Katla,Iceland-S,Iceland,63.63,-19.05,,,,,,,,,,,,,,,,,,1,1512,Subglacial volcano,Historical,D2,1,,
